Crty_iso3,Capacity_onshore
AFG,310687.656919764
AGO,746.0979178253
ALB,5.5920570592
ARE,63038.1554804307
ARG,1894540.23685042
ARM,13.353427378
AUS,6186993.88313545
AUT,11938.5283647815
AZE,12861.4409743542
BEL,17361.9677003085
BEN,19.7909626078
BFA,26124.4037078485
BGR,8128.7676164718
BHS,1316.0591906984
BIH,838.1916527411
BLR,106753.904411777
BLZ,20.1150337188
BOL,41606.6181141621
BRA,450521.247609145
BWA,75242.784985184
CAF,227.0400573262
CAN,4310531.81640487
CHE,45.3749544253
CHL,74071.7243083618
CHN,2917203.76148755
CMR,8961.63895329
COD,16.3048743434
COL,15299.8580777403
CRI,3040.0365311519
CUB,7806.7950742332
CYP,2.1100644958
CZE,37395.0054464956
DEU,126019.481146934
DJI,24512.0034625364
DNK,47120.2429432849
DOM,2763.0205127117
DZA,3561370.73510021
ECU,333.135251304
EGY,1348798.3112105
ERI,82924.0628989275
ESP,104689.527640835
EST,15743.6175326492
ETH,299512.469321938
FIN,40447.7446693694
FRA,515199.076735628
GBR,221321.291239764
GEO,459.5027850507
GMB,1.6122811639
GRC,11949.5422661925
GRL,36217.6883239279
GTM,19.4063794618
GUY,468.9100506336
HND,1704.3956799257
HRV,1733.3871530554
HUN,25423.9939460941
IDN,7093.253264881
IND,173348.333639421
IRL,83960.8957717097
IRN,1319848.8395794
IRQ,537850.32595541
ISL,85571.5019797999
ISR,3288.1488334993
ITA,18878.7732918521
JAM,1187.0205314312
JOR,111873.319564948
JPN,30395.6477969322
KAZ,3531614.81361847
KEN,277851.813330214
KGZ,1110.7437034499
KOR,3239.8272915651
KWT,23604.2869572098
LAO,0.7874046703
LBN,20.2666857348
LKA,995.2745763858
LSO,1.657355237
LTU,33297.7323341832
LUX,362.5984970798
LVA,19324.6613334961
MAR,509467.142397402
MDG,60841.8006477272
MEX,34953.4767886206
MLI,1379737.9757738
MMR,3472.2668445796
MNE,115.0638986868
MNG,1488687.57933823
MOZ,1161.7767820428
MRT,1738977.58341471
MWI,3.2178056965
NAM,79135.5535394156
NCL,4208.4012076184
NER,1427041.19537647
NGA,140240.813994995
NIC,20781.6811392596
NLD,53705.9651820515
NOR,284643.311576483
NZL,127640.645532641
OMN,330009.013441952
PAK,294213.517767329
PAN,262.1329750421
PER,20714.4558982309
PHL,26240.6526412918
PNG,16335.8473398428
POL,184651.686047021
PRI,217.0494783386
PRT,15462.901475893
PRY,21590.0892623493
ROU,27329.1914174648
RUS,14439716.8053805
SAU,2685176.43837866
SDN,2281349.55340943
SEN,10698.9097266836
SLB,6269.8160229844
SLV,18.9356043572
SOM,477051.714539547
SRB,2022.4947242561
SVK,7680.8242141826
SVN,20.166645512
SWE,65310.8616720613
SWZ,17.044716894
TCD,1447341.39363707
TJK,3819.2146990484
TKM,585764.893847581
TLS,135.4846594726
TTO,283.5094167839
TUN,190743.614689686
TUR,53677.484942649
TWN,1741.9278866394
TZA,8647.5926590842
UGA,888.1960381784
UKR,537768.153688408
URY,36317.019614014
USA,1947643.78495655
UZB,538887.207759759
VEN,345969.323037066
VNM,25177.3079902901
VUT,5293.2465140578
YEM,383539.942286298
ZAF,229109.161674996
ZMB,302847.437152947
ZWE,285814.23402099
