Ctry_iso3,Capacity_pv
AFG,6209190
AGO,4381231
ALB,180044
AND,3265
ARG,33723632
ARM,14741
AUS,260670947
AUT,637658
AZE,581658
BDI,217204
BEL,673565
BEN,1665159
BGD,872937
BGR,1528116
BHR,26193
BLR,168979
BLZ,44792
BOL,883339
BRA,40135149
BRN ,2198
BTN,23300
BWA,7467126
CAN,5368696
CHE,462245
CHL,12255037
CHN,134117401
CMR,1373820
COL,1428600
CUB,2619544
CYP,405861
DEU,4747738
DJI,1584149
DMA,10905
DNK,632356
DZA,24753926
ECU,835039
EGY,42689397
ERI,7645149
ESP,15927900
EST,189540
ETH,7057685
FIN,1601805
FRA,9819649
GAB,589201
GEO,358230
GGY,1330
GHA,3273130
GIN,633683
GRC,4198487
GTM,1119259
GUY,192373
HND,425568
HRV,153103
HTI,23076
HUN,827145
IDN,2173714
IND,13475049
IRL,3048920
IRN,35172221
IRQ,7851030
ISL,622600
ISR,837537
ITA,4483346
JAM,12477
JEY,2186
JOR,2072312
JPN,225358
KAZ,65999744
KEN,16761976
KGZ,2228831
KHM,112128
KWT,1496057
LAO,1770378
LBN,200041
LBY,16024592
LIE,831
LSO,844759
LTU,734199
LUX,57167
LVA,387383
MAR,15034729
MDA,80835
MDG,1566034
MEX,59018666
MLI,2787774
MLT,2833
MNE,101306
MNG,19168517
MOZ,2394261
MRT,3595393
MTQ,2420
MWI,2308442
MYS,128068
NAM,20369632
NER,7885042
NGA,14306561
NIC,292482
NLD,643612
NOR,6217864
NPL,369376
OMN,5108431
PAK,20220925
PAN,291728
PER,12773900
PHL,468409
POL,3095102
PRT,3506177
PRY,742766
QAT,1030779
ROU,3178452
RUS,48088913
RWA,148406
SDN,81850988
SEN,1519611
SOM,20064511
SRB,105151
SUR,13838
SVK,484005
SVN,247466
SWE,2289171
SWZ ,352215
SYR,2483726
TCD,2820537
TGO,414735
THA,2226614
TJK,256762
TKM,1832660
TUN,6992847
TUR,4162589
TWN,276918
TZA,13652233
UGA,2959632
UKR,1444966
URY,725056
UZB,1006387
VEN,6697191
VNM,3167166
YEM,4106075
ZMB,4483147
ZWE,11359956
