Ctry_iso3_ori,Ctry_iso3_des,Volume
ARE,AGO,0.1
ARE,AUS,0.2
ARE,DZA,0.4
ARE,NGA,0.1
ARE,USA,0.1
ARG,DZA,0.1
ARG,NGA,0.5
ARG,QAT,1.5
ARG,RUS,0.1
ARG,TTO,0.6
ARG,USA,0.7
BEL,AGO,0.1
BEL,NOR,0.1
BEL,QAT,2.7
BEL,RUS,0.8
BRA,AGO,0.1
BRA,NGA,0.4
BRA,NOR,0.2
BRA,QAT,0.2
BRA,RUS,0.2
BRA,TTO,0.8
BRA,USA,0.7
CAN,NOR,0.1
CAN,RUS,0.1
CAN,TTO,0.4
CHL,TTO,2.5
CHL,USA,1.1
CHN,AGO,0.7
CHN,AUS,32.1
CHN,BRN ,0.3
CHN,DZA,0.1
CHN,EGY,0.3
CHN,IDN,6.7
CHN,MYS,7.9
CHN,NGA,1.5
CHN,NOR,0.3
CHN,OMN,0.7
CHN,PER,0.1
CHN,PNG,3.3
CHN,QAT,12.7
CHN,RUS,1.3
CHN,TTO,0.5
CHN,USA,3.0
EGY,NGA,0.3
EGY,NOR,0.6
EGY,QAT,1.5
EGY,RUS,0.3
EGY,TTO,0.1
EGY,USA,0.2
ESP,AGO,0.1
ESP,DZA,1.5
ESP,NGA,4.1
ESP,NOR,0.6
ESP,PER,1.7
ESP,QAT,3.4
ESP,RUS,0.9
ESP,TTO,2.2
ESP,USA,0.3
FRA,AGO,0.1
FRA,DZA,4.0
FRA,EGY,0.4
FRA,NGA,3.6
FRA,NOR,1.5
FRA,PER,0.3
FRA,QAT,1.1
FRA,RUS,1.5
FRA,TTO,0.1
FRA,USA,0.5
GBR,DZA,0.3
GBR,EGY,0.2
GBR,NOR,0.2
GBR,PER,0.1
GBR,QAT,2.9
GBR,RUS,1.7
GBR,TTO,0.8
GBR,USA,1.2
IND,AGO,2.2
IND,ARE,0.5
IND,AUS,2.0
IND,DZA,0.3
IND,EGY,0.2
IND,MYS,0.4
IND,NGA,4.0
IND,NOR,0.1
IND,OMN,1.5
IND,QAT,14.8
IND,RUS,0.5
IND,TTO,0.5
IND,USA,1.3
ITA,DZA,0.7
ITA,EGY,0.2
ITA,NGA,0.1
ITA,NOR,0.1
ITA,QAT,6.3
ITA,USA,0.5
JPN,AGO,0.4
JPN,ARE,6.8
JPN,AUS,39.1
JPN,BRN ,5.7
JPN,EGY,0.2
JPN,IDN,7.0
JPN,MYS,15.1
JPN,NGA,2.1
JPN,NOR,0.1
JPN,OMN,4.2
JPN,PER,0.8
JPN,PNG,4.3
JPN,QAT,13.5
JPN,RUS,9.4
JPN,TTO,0.2
JPN,USA,3.4
KOR,AGO,0.3
KOR,AUS,10.8
KOR,BRN ,1.0
KOR,EGY,0.4
KOR,IDN,4.7
KOR,MYS,5.1
KOR,NGA,0.6
KOR,NOR,0.1
KOR,OMN,5.8
KOR,PER,1.3
KOR,PNG,0.1
KOR,QAT,19.6
KOR,RUS,2.6
KOR,TTO,0.3
KOR,USA,6.5
KWT,AGO,0.6
KWT,EGY,0.1
KWT,NGA,0.6
KWT,NOR,0.2
KWT,OMN,0.6
KWT,QAT,1.6
KWT,TTO,0.1
KWT,USA,0.3
MEX,IDN,0.2
MEX,NGA,1.4
MEX,PER,0.1
MEX,TTO,0.3
MEX,USA,4.9
MYS,AUS,1.2
MYS,BRN ,0.6
PAK,AGO,0.1
PAK,AUS,0.1
PAK,DZA,0.2
PAK,IDN,0.2
PAK,MYS,0.1
PAK,NGA,1.3
PAK,NOR,0.2
PAK,OMN,0.2
PAK,QAT,5.8
PAK,RUS,0.1
PAK,TTO,0.1
PAK,USA,0.3
SGP,AGO,0.2
SGP,AUS,2.8
SGP,IDN,0.2
SGP,PNG,0.2
SGP,QAT,0.6
SGP,TTO,0.1
SGP,USA,0.1
THA,ARE,0.1
THA,AUS,0.1
THA,BRN ,0.3
THA,IDN,0.3
THA,MYS,0.7
THA,NGA,1.3
THA,OMN,0.1
THA,QAT,2.8
THA,RUS,0.1
THA,TTO,0.5
TUR,AGO,0.1
TUR,DZA,4.7
TUR,EGY,0.2
TUR,NGA,2.2
TUR,NOR,0.1
TUR,QAT,3.1
TUR,TTO,0.4
TUR,USA,0.4
TWN,ARE,0.1
TWN,AUS,3.5
TWN,BRN ,0.9
TWN,IDN,1.6
TWN,MYS,3.8
TWN,NGA,0.3
TWN,NOR,0.1
TWN,OMN,0.4
TWN,PER,0.1
TWN,PNG,1.6
TWN,QAT,6.6
TWN,RUS,3.2
TWN,TTO,0.3
TWN,USA,0.4
USA,NGA,0.1
USA,TTO,1.8
